编导填写,,,,,剪辑填写,,,,编导填写,,,,,,
日期,表达卖点,文案内容,对应视频画面需求,编导,是否采用,短视频ID,剪辑人,上传日期,3天平均展现次数,3天整体点击率,3天合计销售额,7天平均展现次数,7天整体点击率,7天合计销售额,15天合计销售额
,动力+剃须效果,内在配置同样硬核，39000转动力确保晨间快速净须，从容应对每一场会议。,机身展示，手持机身  +  剃一道，全脸  +  剃完展示，剃完摸脸，不展示,,,,,,,,,,,,
,七级防水,全机防水易打理，让你使用无后顾之忧。,防水效果，直接冲水,,,,,,,,,,,,
,结尾,用上谷开启高效精致的一天，现在直播间有专属活动。,剃完展示，剃完摸脸，不展示，车上  +  礼盒及赠品展示，纯展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月3日,开头,你是不是也有电量焦虑？手机低于50%就心慌，剃须刀更是怕用到一半没电。,没剃的胡子，照镜子全脸摸  +  没剃的胡子，竞品卡胡子,张可熠,,,,,,,,,,,
,充电,上谷S5Max，升级大容量电池，配合Type-C快充，手机电脑都能给它补电，随时满血。,12.20  S5，产品，机身充电口转子刀网，充电口  +  充电口展示通电电量显示,,,,,,,,,,,,
,外观机身,电子屏显，余电精确到百分比，再也不用靠猜。,产品拿出拔盖正反展示,,,,,,,,,,,,
,七级防水,全机防水，一冲即净。,12.20  S5，产品，防水[浇水],,,,,,,,,,,,
,结尾,有电量焦虑的朋友，来直播间，这把剃须刀给你满满的安全感。,礼盒及赠品展示，从人到礼盒产品赠品展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月3日,开头,下巴、喉结、人中的胡茬，死角里的硬茬最难剃干净，普通刀头够不着、贴不紧。,没剃的胡子，特写摸  +  没剃的胡子，竞品卡胡子,张可熠,,,,,,,,,,,
,刀头+剃须效果,上谷S5Max，4+1浮动五刀头，每个刀头独立悬浮，主动贴合面部每一处曲线，灵活深入死角，胡须无处藏身。,机身展示，机身扫光  +  刀网，按动刀网  +  剃一道，全脸,,,,,,,,,,,,
,转子,合金转子动力强劲，确保长短须一网打尽，不留遗漏。,12.20  S5，产品，机身充电口转子刀网，转子展示  +  左右脸对比,,,,,,,,,,,,
,七级防水,全机防水，冲洗方便。,防水效果，直接冲水,,,,,,,,,,,,
,结尾,对剃须效果有洁癖般挑剔的你，点进直播间，看它如何征服每一个死角。,礼盒及赠品展示，从人到礼盒产品赠品展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月3日,开头,设计做减法，体验做加法，这才是好产品该有的样子。,机身展示，红布抽开展示产品  +  机身展示，机身扫光,张可熠,,,,,,,,,,,
,剃须效果,上谷S5Max，摒弃一切繁杂无用功能，专注把剃须这件事做到极致。,机身展示，车上机身入画  +  剃完展示，剃完摸脸，不展示，车上,,,,,,,,,,,,
,外观机身,一键启动，平板面设计简约流畅，一冲即净。,产品拿出拔盖正反展示  +  防水效果，直接冲水,,,,,,,,,,,,
,功能,内核却是满配：自磨刀头、39000转电机、全机防水。,刀网，刀网展示  +  转子展示  +  防水效果，丢进玻璃缸,,,,,,,,,,,,
,结尾,简约而不简单，实用主义者的首选。直播间已开，进来看看这份纯粹的硬核实力。,剃完展示，上脸再展示  +  礼盒及赠品展示，纯展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月4日,开头,早上的时间比黄金还宝贵，剃须这事必须快、准、净，不能拖后腿。,没剃的胡子，全脸摸ycc1548  +  剃半脸ycc1602,张可熠,,,,,,,,,,,
,动力+剃须效果,上谷S5Max，39000次/分高频振动，大面积浮动刀头，几下就能覆盖全脸。,机身展示，手持机身ycc1553  +  12.20  S5，产品，机身…，转子展示，黑色 M3611  +  剃一道，特写ycc1610,,,,,,,,,,,,
,七级防水,全机防水，冲几下就完事，不耽误出门时间。,防水效果，直接冲水ycc2009  +  剃完展示，剃完摸脸，不展示ycc1858,,,,,,,,,,,,
,充电,Type-C快充，随时待命，没电了随便找个充电宝就能续命。,充电口展示通电电量显示ycc1932,,,,,,,,,,,,
,结尾,为快节奏生活的你量身打造，直播间正在直播，快进来看看这款晨间效率神器。,机身展示，车上机身入画ycc1995  +  礼盒及赠品展示，纯展示ycc2036,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月4日,开头,最近社交平台上爆火的那把剃须刀，到底是不是智商税？,机身展示，转台旋转展示机身ycc2063,张可熠,,,洪晨沛,8.7,,,,,,,
,剃须效果,上谷S5Max，凭硬核配置出圈，不是花架子。,机身展示，红布抽开展示产品ycc2026  +  剃一道，全脸ycc1632,,,,,,,,,,,,
,功能,镀钛工艺、浮动五刀头、合金转子，配置直接拉满。,12.20  S5，产品，机身充电口转子刀网，转子展示，银色M3498 + M3758,,,,,,,,,,,,
,外观机身,高温烤漆外观，颜值在线，摆出来就是品味。,机身展示，手持机身ycc1556,,,,,,,,,,,,
,七级防水,全机防水，Type-C充电，便捷实用不挑场合。,12.20  S5，产品，机身充电口转子刀网，转子展示，银色M3553 + M3749,,,,,,,,,,,,
,结尾,想知道它为什么这么火？点开直播间，一探究竟，看看值不值得入手。,12.20  S5，产品，机身充电口转子刀网，机身展示，黑色，有其他动作 抛接  +  礼盒及赠品展示，纯展示ycc2037,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月4日,开头,玩游戏讲究低延迟、高响应，剃须也一样不能拖沓。,没剃的胡子，照镜子全脸摸ycc1587  +  剃半脸ycc1602,张可熠,,,洪晨沛,8.7,,,,,,,
,动力,上谷S5Max，指尖轻按开关，39000转动力瞬间响应。,12.20  S5，产品，机身充电口转子刀网，机身展示，黑色，有其他动作 按开关 + 12.20  S5，产品，机身充电口转子刀网，转子展示，黑色M3611,,,,,,,,,,,,
,刀头+剃须效果,刀头灵活浮动，指哪打哪，胡茬再多也一圈清干净，操控感拉满。,12.20  S5，产品，机身充电口转子刀网，刀网展示，黑色 手摸刀网  +  剃完展示，剃完摸脸，不展示，车上ycc1979,,,,,,,,,,,,
,七级防水,全机防水，一冲即净，不用费心打理。,防水效果，丢进玻璃缸ycc2070  +  防水效果，直接冲水ycc2008,,,,,,,,,,,,
,结尾,追求极致体验、对效率有执念的你，直播间已准备就绪，好不好用，你上手说了算。,剃完展示，上脸再展示ycc1831,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月4日,开头,生活的品质感，从来不在于惊天动地的大事，而在于日常小物带来的愉悦。,机身展示，手持机身ycc1555  +  12.20  S5，产品，机身充电口转子刀网，机身展示，黑色，有其他动作 拿出画4,张可熠,,,洪晨沛,8.7,,,,,,,
,剃须效果+外观机身,每天清晨用上谷S5Max，感受刀锋掠过肌肤的顺滑，细品烤漆机身温润如玉的触感，是一种踏实的小确幸。,剃一道，全脸ycc1702  +  刀网，刀网贴手腕ycc2016  +  12.20  S5，产品，机身充电口转子刀网，机身展示，银色，有其他动作 摩挲,,,,,,,,,,,,
,刀头,自磨刀头，让这份舒爽历久弥新。,12.20  S5，产品，机身充电口转子刀网，机身展示，黑色，有其他动作 放倒,,,,,,,,,,,,
,结尾,想从每天第一件小事开始提升幸福感？点击直播间，让品质生活，从一把懂你的剃须刀开始。,左右脸对比ycc1605  +  礼盒及赠品展示，从人到礼盒产品赠品展示ycc1941,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月4日,开头,每天早上赶着出门，老剃须刀刮完，下巴总留着硬胡茬，和家人亲近也容易扎到。,没剃的胡子，竞品卡胡子ycc1589  +  没剃的胡子，特写摸ycc1545,张可熠,,,,,,,,,,,
,刀头,上谷S5Max剃须刀，4+1浮动五刀头，贴合脸部各处轮廓，,机身展示，红布抽开展示产品ycc2027  +  刀网，按动刀网ycc2014  +  刀网，刀网贴手腕ycc2017,,,,,,,,,,,,
,动力,39000转高转速，快速扫净浅层胡茬。,转子展示ycc1975,,,,,,,,,,,,
,剃须效果,镀钛自磨刀头，用久了依旧顺滑，不容易卡须。,12.20  S5，产品，防水，银色 刀头入水  +  左右脸对比ycc1605,,,,,,,,,,,,
,七级防水,支持整机水洗，用完水下一冲就干净。,12.20  S5，产品，防水，黑色 水波3（推入）  +  防水效果，直接冲水ycc2009,,,,,,,,,,,,
,结尾,有需要的朋友，点直播间详细了解。,礼盒及赠品展示，纯展示ycc2064,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月4日,开头,车里、办公桌都可以备一台上谷S5Max，临时约会、突发会议，随手拿来就能用。,礼盒，礼盒上推ycc1901  +  礼盒，礼盒开盖ycc1924  +  机身展示，车上机身入画ycc1998,张可熠,,,,,,,,,,,
,外观机身,高清电子屏，电量一目了然，,12.20  S5，产品，机身充电口转子刀网，机身展示，黑色，有其他动作 按开关,,,,,,,,,,,,
,充电,Type-C通用接口，大容量电池，日常几个月不用频繁充电。,充电口展示通电电量显示ycc1931  +  12.20  S5，产品，机身充电口转子刀网，机身展示，黑色，有其他动作 扫光2,,,,,,,,,,,,
,剃须效果,4+1浮动五刀头，大面积覆盖，轻松打理胡茬。,刀网，刀网展示ycc1959  +  剃一道，全脸ycc1757,,,,,,,,,,,,
,结尾,日常通勤男士，都值得备一台，进直播间看看吧。,礼盒及赠品展示，从人到礼盒产品赠品展示ycc1939,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月4日,开头,经常出差远行的男士，总嫌带一堆充电线麻烦，上谷S5Max刚好解决这个烦恼。,没剃的胡子，全脸摸ycc1548  +  12.20  S5，产品，机身充电口转子刀网，机身展示，黑色，有其他动作 有赠品2,张可熠,,,,,,,,,,,
,充电,通用Type-C充电接口，可视化电子屏，剩余电量一目了然。,充电口展示通电电量显示ycc1931  +  机身展示，手持机身ycc1838,,,,,,,,,,,,
,外观机身,机身带防误触旅行锁，塞进行李箱不用担心误触开机。,机身展示，保护盒打开关闭展示机身ycc2039,,,,,,,,,,,,
,剃须效果,镀钛自磨刀头，切削顺滑，随时随地都能修整胡须。,剃一道，特写ycc1742  +  剃完展示，剃完摸脸，不展示，车上ycc1977,,,,,,,,,,,,
,结尾,现在直播间还有专属好礼，长期出差人群放心选。,礼盒及赠品展示，从人到礼盒产品赠品展示ycc1942,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月4日,开头,不少人买剃须刀只看重外观，到手才发现剃不干净，白白浪费预算。,没剃的胡子，竞品卡胡子ycc1597,张可熠,,,,,,,,,,,
,外观机身,上谷S5Max主打实用硬核配置，,机身展示，转台旋转展示机身ycc2062,,,,,,,,,,,,
,动力,39000次/分稳定高转速合金转子，动力输出均匀柔和。,转子展示ycc1975  +  没剃的胡子，假装在剃ycc1550,,,,,,,,,,,,
,刀头,刀片刀网一体化嵌入式设计，搭配自磨工艺，用久了依然顺滑。,刀网展示，银色 转  +  剃一道，特写ycc1792,,,,,,,,,,,,
,七级防水,平整机身支持全身水洗，缝隙不易藏胡屑。,12.20  S5，产品，防水，银色 水波3  +  防水效果，直接冲水ycc2008,,,,,,,,,,,,
,结尾,现在下单享有专属好礼，选购不易踩坑。,机身展示，保护盒打开关闭展示机身ycc2040  +  礼盒及赠品展示，纯展示ycc2064,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月5日,外观机身,上谷S5Max，机身采用高温烤漆工艺，表层细腻温润，拿握有质感。,12.20  S5，产品，防水，黑色 水波3（推入） +  机身展示，机身扫光ycc1970  +  机身展示，手持机身ycc1552,张可熠,,,,,,,,,,,
,动力,内部配置扎实，4+1浮动五刀头搭配39000转高频运转，快速清扫面部胡茬。,产品拿出拔盖正反展示ycc1929  +  12.20  S5，产品，机身充电口转子刀网，转子展示M3611  +  没剃的胡子，假装在剃ycc1551,,,,,,,,,,,,
,剃须效果,镀钛刀头自带自磨效果，切削顺滑不拉扯肌肤。,刀网，刀网展示ycc1959  +  左右脸对比ycc1608,,,,,,,,,,,,
,七级防水,全机身支持水洗，用完水冲就好，打理不费事。,12.20  S5，产品，防水，银色 浇水  +  防水效果，直接冲水ycc2008,,,,,,,,,,,,
,结尾,现在直播间还有活动，可以进来了解更多细节。,礼盒及赠品展示，从人到礼盒产品赠品展示ycc1954,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月5日,开头,很多大功率剃须刀开机震动强，握久了手会发麻，上谷S5Max平衡动力与握持体验。,没剃的胡子，照镜子全脸摸ycc1593  +  没剃的胡子，竞品卡胡子ycc1591,张可熠,,,,,,,,,,,
,动力+剃须效果,升级款合金转子稳定输出39000次/分转速，切削胡须流畅顺畅，很少出现卡须拉扯情况。,12.20  S，产品，机身充电口转子刀网，转子展示，银色 M3609  +  剃一道，特写ycc1681,,,,,,,,,,,,
,剃须效果,表层镀钛刀网贴合肌肤，降低摩擦不适感，自磨刀片持久丝滑。,12.20  S5\产品\机身充电口转子刀网\刀网展示\银色 转  +  剃半脸ycc1602,,,,,,,,,,,,
,充电,Type-C快充，超长续航，日常居家外出都方便。,充电口展示通电电量显示ycc1931  +  机身展示\保护盒打开关闭展示机身ycc2039,,,,,,,,,,,,
,结尾,品质稳定靠谱，进直播间看看吧。,剃完展示\上脸再展示ycc1810,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月5日,开头,下颌和喉结的胡须总刮不净？往往是刀头浮动角度不够。,没剃的胡子\全脸摸ycc1548  +  没剃的胡子\竞品卡胡子ycc1599,张可熠,,,,,,,,,,,
,刀头,上谷S5Max采用4+1浮动五刀头，刀头可跟随面部曲线自适应调整。,12.20  S5\产品\机身充电口转子刀网\刀网展示\黑色 手摸刀网  +  手腕,,,,,,,,,,,,
,动力+剃须效果,更有高转速马达与镀钛自磨刀头组合，让粗硬胡须的切割过程更稳定。,12.20  S5\产品\机身充电口转子刀网\转子展示\黑色M3611  +  剃完展示\剃完摸脸，不展示\车上ycc1985,,,,,,,,,,,,
,七级防水,支持整机水洗，日常维护不用多操心。,防水效果\直接冲水ycc2008  +  12.20  S5\产品\防水\两个颜色一起M3632,,,,,,,,,,,,
,结尾,上谷S5Max，注重实用男士的省心之选，直播间了解更多细节。,机身展示\车上机身入画ycc1994  +  礼盒及赠品展示\纯展示ycc2037,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月5日,开头,家里老旧剃须刀使用久了刀片变钝，剃须时容易拉扯胡须。,没剃的胡子\竞品卡胡子ycc1597,张可熠,,,,,,,,,,,
,刀头,上谷S5Max来帮你，刀片刀网一体嵌入打磨，搭配自磨技术，剃须顺畅不卡顿。,机身展示\转台旋转展示机身ycc2063  +  刀网\刀网展示ycc1958  +  剃半脸ycc1602,,,,,,,,,,,,
,动力,39000次/分合金转子动力充沛，轻松应对厚重硬胡茬。,转子展示ycc1975  +  剃一道\全脸ycc1622,,,,,,,,,,,,
,外观机身,高温烤漆机身质感在线，握感细腻。,机身展示\手持机身ycc1553,,,,,,,,,,,,
,结尾,日常使用更安心，性价比超高，直播间了解更多细节。,礼盒及赠品展示\从人到礼盒产品赠品展示ycc1939,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月5日,开头,选购剃须刀别忽略长期成本！,机身展示\保护盒打开关闭展示机身ycc2038,张可熠,,,,,,,,,,,
,刀头,上谷S5Max刀头采用镀钛耐磨自磨工艺，越用越锋利，持久保持净剃效果。,12.20  S5\产品\机身充电口转子刀网\刀网展示\黑色M3518  +  剃半脸ycc1602,,,,,,,,,,,,
,剃须效果,4+1浮动五刀头增大接触面积，轻松贴合面部轮廓，剃须更省时。,12.20  S5\产品\机身充电口转子刀网\刀网展示\黑色 刷子刷刀网  + 剃一道\全脸ycc1633,,,,,,,,,,,,
,七级防水,平版面设计，全机防水，轻松打理无死角。,12.20  S5\产品\机身充电口转子刀网\转子展示\黑色M3748  +  12.20  S5\产品\防水\两个颜色一起M3632,,,,,,,,,,,,
,结尾,告别频繁换刀头，长期使用省心更省钱。,剃完展示\上脸再展示ycc1849,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月5日,开头,传统剃须刀凹凸缝隙多，时间久了容易藏污纳垢。,没剃的胡子\竞品卡胡子ycc1590,张可熠,,,,,,,,,,,
,外观机身,上谷S5Max极简平整一体化机身，高温烤漆机身，持握舒适。,机身展示\红布抽开展示产品ycc2027  +  12.20  S5\产品\机身充电口转子刀网\机身展示\银色\有其他动作 翻转2,,,,,,,,,,,,
,刀头,刀头搭配自磨工艺，长期使用顺滑不卡顿。,12.20  S5\产品\机身充电口转子刀网\刀网展示\银色M3750  +  手腕2,,,,,,,,,,,,
,充电,Type-C快充，内置智能屏显，剩余电量一目了然。,充电口展示通电电量显示ycc1931,,,,,,,,,,,,
,七级防水,整机可直接水洗，轻松冲洗不留死角。,防水效果\直接冲水ycc2008,,,,,,,,,,,,
,结尾,日常打理更省心，进直播间了解更多细节。,剃完展示\上脸再展示ycc1834  +  礼盒及赠品展示\纯展示ycc2037,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月5日,开头,挑选个护工具，核心要看硬指标，不买噱头、不为颜值溢价买单。,机身展示\转台旋转展示机身ycc2063,张可熠,,,,,,,,,,,
,动力,上谷S5Max搭载39000次/分合金转子，开机动力平稳充沛。,12.20  S5\产品\机身充电口转子刀网\转子展示\银色M3749  +  产品拿出拔盖正反展示ycc1928,,,,,,,,,,,,
,剃须效果,浮动五刀头自适应脸部起伏，下巴、脖颈边角都能清理到位。,剃一道\全脸ycc1781  +  剃一道\特写ycc1782,,,,,,,,,,,,
,刀头+充电,镀钛自磨刀头温和贴合皮肤，不易刺激泛红，Type-C接口，续航能用大半个月。,12.20  S5\产品\机身充电口转子刀网\刀网展示\银色M3610 + 手腕  +  充电口展示通电电量显示ycc1931,,,,,,,,,,,,
,结尾,直播间已上架，进来看看真实动力。,礼盒及赠品展示\纯展示ycc2065,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月5日,开头,男生面部干净清爽，不管上班还是约会，整体气质都会加分。,剃完展示\剃完摸脸，不展示ycc1858,张可熠,,,,,,,,,,,
,刀头+剃须效果,上谷S5Max浮动五刀头，顺应面部轮廓，深层清理浅层胡根，剃完后光滑不扎手。,刀网\按动刀网ycc2014  +  刀网\刀网贴手腕ycc2019  +  左右脸对比ycc1604,,,,,,,,,,,,
,七级防水,全机防水，耐用省心。,防水效果\丢进玻璃缸ycc2070,,,,,,,,,,,,
,外观机身,镀钛自磨刀头长期使用依旧顺滑，高温烤漆机身，摆放在洗漱台也显质感。,12.20  S5\产品\机身充电口转子刀网\刀网展示\银色 手摸刀网  +  机身展示\机身扫光ycc1970 + 机身展示\银色\有其他动作 拿出画,,,,,,,,,,,,
,结尾,别急着下单，现在直播间还送旅行收纳盒。,12.20  S5\产品\礼盒\黑色 抛入+摇摆  +  礼盒及赠品展示\纯展示ycc2065,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月5日,开头,不用高额预算也能入手配置扎实的剃须刀，上谷S5Max更低的价格，同样亮眼的表现。,礼盒\礼盒上推ycc1902  +  礼盒\礼盒开盖ycc1927,张可熠,,,,,,,,,,,
,动力,39000次/分升级合金转子、4+1浮动五刀头、,转子展示ycc1975  +  刀网\按动刀网ycc2015,,,,,,,,,,,,
,剃须效果,镀钛自磨刀头，长期使用依旧保持顺滑。,12.20  S5\产品\机身充电口转子刀网\刀网展示\黑色M3562  +  剃一道\全脸ycc1704,,,,,,,,,,,,
,七级防水,平整机身支持全身水洗，冲洗清洁简单快捷。,防水效果\直接冲水ycc2009,,,,,,,,,,,,
,结尾,预算有限又追求品质的男士可以重点关注。,剃完展示\上脸再展示ycc1801,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月5日,开头,怕麻烦、有轻微洁癖的男士，这款剃须刀很贴合你的使用习惯。,没剃的胡子\照镜子全脸摸ycc1585  +  12.20  S5\产品\机身充电口转子刀网\机身展示\黑色\有其他动作 指logo,张可熠,,,,,,,,,,,
,外观机身,上谷S5Max舍弃复杂多层结构，简洁机身设计。,12.20  S5\产品\机身充电口转子刀网\机身展示\转台展示 黑色  +  机身展示\机身扫光ycc1970,,,,,,,,,,,,
,七级防水,全机可水洗，水龙头下冲洗几秒就能去除胡屑。,防水效果\直接冲水ycc2008,,,,,,,,,,,,
,刀头,刀头,刀网\刀网展示ycc1957  +  剃一道\全脸ycc1715,,,,,,,,,,,,
,结尾,直播间现场拆刀头给你看内部结构，一目了然。,礼盒及赠品展示\纯展示ycc2037,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月5日,开头,天生胡须粗硬、生长速度快，普通剃须刀很难一次性清理，反复刮擦容易刺激皮肤。,没剃的胡子\照镜子全脸摸ycc1593  +  没剃的胡子\竞品卡胡子ycc1591,张可熠,,,,,,,,,,,
,动力,上谷S5Max针对国人硬胡茬设计，升级合金转子，39000转稳定动力，,机身展示\红布抽开展示产品ycc2026  +  转子展示ycc1975,,,,,,,,,,,,
,刀头,浮动五刀头大面积贴合肌肤。,12.20  S5\产品\机身充电口转子刀网\刀网展示\黑色 手腕,,,,,,,,,,,,
,剃须效果,镀钛自磨刀头切断粗硬胡茬更轻松，减少反复摩擦泛红。,剃一道\特写ycc1698  +  剃完展示\上脸再展示ycc1801,,,,,,,,,,,,
,结尾,硬胡须专属款，直播间看真实效果。,礼盒及赠品展示\纯展示ycc2064,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月5日,开头,上谷S5Max，综合配置均衡的人气机型，日常居家、出差通勤都适配。,机身展示\红布抽开展示产品ycc2027  +  机身展示\车上机身入画ycc1998,张可熠,,,,,,,,,,,
,剃须效果,浮动五刀头自适应脸型，镀钛自磨刀头持久顺滑，,剃一道\特写ycc1668  +  左右脸对比ycc1604,,,,,,,,,,,,
,动力,39000转合金转子动力稳定输出。,转子展示ycc1975,,,,,,,,,,,,
,七级防水,平整机身水洗便捷，自带旅行锁，单次充满能用大半个月。,12.20  S5\产品\防水\黑色 水波  +  机身展示\保护盒打开关闭展示机身ycc2042,,,,,,,,,,,,
,结尾,直播间有专属福利，进来了解更多详情。,剃完展示\有推拉ycc1819,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月6日,开头,很多人觉得剃须刀使用几个月刀片就会变钝，需要频繁更换，上谷S5Max打破这种使用局限。,没剃的胡子\竞品卡胡子ycc1595  +  机身展示\转台旋转展示机身ycc2063,张可熠,,,,,,,,,,,
,刀头+剃须效果,整机搭载镀钛自磨刀头，刀片刀网一体式嵌入，每次剃须都会自然打磨刀刃，长久保持顺滑剃净。,12.20  S5\产品\机身充电口转子刀网\刀网展示\黑色M3518  +  剃一道\全脸ycc1630,,,,,,,,,,,,
,动力,39000次/分高转速转子适配各类硬胡须，烤漆机身水洗方便。,12.20  S5\产品\机身充电口转子刀网\转子展示\黑色M3611  +  12.20  S5\产品\防水\黑色推入2,,,,,,,,,,,,
,结尾,直播间刚好有现货，有需要的兄弟可以来看看。,礼盒及赠品展示\从人到礼盒产品赠品展示ycc1941,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月6日,开头,不少老式剃须刀刀片钝化、贴合度差，剃须时容易拉扯胡须。,没剃的胡子\竞品卡胡子ycc1599,张可熠,,,,,,,,,,,
,刀头,上谷S5Max采用4+1浮动五刀头，轻柔贴合肌肤，,机身展示\手持机身ycc1552  +  刀网\刀网贴手腕ycc2018,,,,,,,,,,,,
,剃须效果,往复式设计，横着竖着都能剃，,没剃的胡子\假装在剃ycc1551  +  剃一道\特写ycc1790,,,,,,,,,,,,
,动力,39000次/分高频转速快速切断胡茬，大幅降低拉扯不适感。,剃完展示\剃完摸脸，不展示ycc1852,,,,,,,,,,,,
,七级防水,整机水洗，打理更简单。,防水效果\直接冲水ycc2009,,,,,,,,,,,,
,结尾,现在进直播间，享更多专属福利。,剃完展示\有推拉ycc1814,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月6日,开头,明明每天坚持刮胡子，下颌、喉结位置依旧泛青，根源是刀头难以贴合凹凸轮廓，清理不到胡须根部。,没剃的胡子\全脸摸ycc1547 + 特写摸ycc1545  +  没剃的胡子\竞品卡胡子ycc1595,张可熠,,,,,,,,,,,
,刀头+剃须效果,上谷S5Max4+1浮动五刀头，顺应面部起伏变化，边角盲区也能紧密覆盖。,12.20  S5\产品\机身充电口转子刀网\刀网展示\黑色M3518  +  剃一道\特写ycc1631,,,,,,,,,,,,
,剃须效果+外观机身,镀钛自磨刀头切削锋利，轻松刮净，高温烤漆机身质感出众。,剃半脸ycc1602  +  12.20  S5\产品\机身充电口转子刀网\机身展示\黑色\有其他动作 转2,,,,,,,,,,,,
,结尾,直播间正在讲解中，有什么疑问当场就能问。,礼盒及赠品展示\纯展示ycc2036,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月6日,开头,之前长途出差踩过不少坑，剃须刀在行李箱误触持续运转，机身发热还会磨损贴身衣物。,没剃的胡子，照镜子全脸摸ycc1586  +  没剃的胡子，竞品卡胡子ycc1589,张可熠,,,,,,,,,,,
,外观机身,上谷S5Max自带长按锁定旅行锁，收纳进背包、行李箱不用担心误开机。,产品拿出拔盖正反展示ycc1925  +  机身展示\保护盒打开关闭展示机身ycc2043,,,,,,,,,,,,
,刀头+充电,浮动五刀头剃须干净利落，通用Type-C快充，一次满电续航大半个月，短途出差不用额外携带充电线。,\刀网\按动刀网ycc2014  +  充电口展示通电电量显示ycc1931,,,,,,,,,,,,
,结尾,经常外出的男士，进直播间看看。,剃完展示\有推拉ycc1818,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月6日,开头,早上闹钟响后总想多赖一会床，但剃须的流程总会占用不少时间，,没剃的胡子\照镜子全脸摸ycc1584  +  没剃的胡子\竞品卡胡子ycc1589,张可熠,,,,,,,,,,,
,外观机身,上谷S5Max帮你提升晨间打理效率。,礼盒\礼盒开盖ycc1924  +  产品拿出拔盖正反展示ycc1925,,,,,,,,,,,,
,刀头+动力,4+1浮动五刀头接触面积更大，39000次/分合金转子轻松搞定胡须修整，减少反复来回打磨。,12.20  S5\产品\机身充电口转子刀网\刀网展示\银色 按压  +  转子展示\银色M3609  +  剃一道\全脸ycc1715,,,,,,,,,,,,
,七级防水,平整机身全身水洗，冲洗几秒就能清洁完毕，让你多留出休息时间。,防水效果\丢进玻璃缸ycc2080  +  防水效果\直接冲水ycc2008,,,,,,,,,,,,
,结尾,今天直播间专属福利价，趁划算赶紧去看看。,12.20  S5\产品\机身充电口转子刀网\机身展示\两个颜色一起展示 碰头2  +  礼盒及赠品展示\纯展示ycc2064,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月6日,开头,面部莫名泛红、发痒，不妨检查剃须刀缝隙，角落里容易藏污纳垢。,没剃的胡子\照镜子全脸摸ycc1586  +  没剃的胡子\竞品卡胡子ycc1599,张可熠,,,,,,,,,,,
,外观机身,上谷S5Max采用简约平整机身设计，无复杂多层缝隙结构。,机身展示\手持机身ycc1552  +  机身展示\机身扫光ycc1970,,,,,,,,,,,,
,七级防水,全机支持水洗，水流一冲轻松冲净。,防水效果\直接冲水ycc2009,,,,,,,,,,,,
,刀头,镀钛自磨刀头切削平整温和，减少肌肤摩擦刺激。,12.20  S5\产品\机身充电口转子刀网\刀网展示\黑色 手摸刀网,,,,,,,,,,,,
,结尾,直播间正在展示更多细节，注重日常卫生的朋友可以放心选择。,机身展示\手持机身ycc1555  +  礼盒及赠品展示\纯展示ycc2036,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8月6日,开头,没有体验过顺滑流畅的剃须过程，强烈推荐试试上谷S5Max。,剃半脸ycc1602  +  剃完展示\有推拉ycc1838 （倒放）,张可熠,,,,,,,,,,,
,动力+剃须效果,开机后39000次/分合金转子平稳高频运转，划过脸颊快速切断粗硬浓密胡茬，不易卡顿拉扯。,转子展示ycc1975  +  剃一道\全脸ycc1743,,,,,,,,,,,,
,刀头,镀钛自磨刀头持久保持锋利，,12.20  S5\产品\机身充电口转子刀网\刀网展示\黑色 刷子刷刀网,,,,,,,,,,,,
